gcng,gcngq,gdc,gydq,pop16,pg,inc,gexp,t
10.9,37.9,26.8,1267.7,114714.3,4.67575,-4.505241,-8.015249,1959q1
11.2,38.2,26.9,1288.4,115139,4.691292,-4.492739,-8.01106,1959q2
11.2,38,27.1,1285.1,115550.7,4.689134,-4.498873,-8.019878,1959q3
11.7,38.4,27.1,1298.2,115918,4.722338,-4.491904,-8.012581,1959q4
11.6,38.5,27.2,1309.4,116707.7,4.70747,-4.490103,-8.016769,1960q1
12.1,40.2,27.4,1314.4,117036.7,4.699136,-4.489107,-7.976376,1960q2
12.2,39.5,27.5,1314.4,117411,4.72129,-4.492301,-7.997135,1960q3
12.2,39.3,27.6,1313.8,117824.3,4.722736,-4.496271,-8.005726,1960q4
12,39.3,27.6,1328.2,118254.3,4.706207,-4.489013,-8.009369,1961q1
11.9,40.2,27.6,1347.6,118636,4.675196,-4.477735,-7.989948,1961q2
12.1,39.8,27.8,1362.6,119000.7,4.694643,-4.469735,-8.003017,1961q3
12.1,40,27.9,1387.2,119189.7,4.68604,-4.453429,-7.999592,1961q4
12.3,41.1,28,1399,119378.7,4.671727,-4.446543,-7.974048,1962q1
12.5,41.3,28.1,1410.9,119819.3,4.679437,-4.441757,-7.972878,1962q2
12.5,41.6,28.2,1420.6,120368,4.668647,-4.439475,-7.970209,1962q3
13,42.1,28.4,1428.8,121045.7,4.688853,-4.439333,-7.963875,1962q4
13,42.5,28.5,1438.9,121640,4.675881,-4.437187,-7.959317,1963q1
12.9,43,28.6,1449.3,122166.7,4.652961,-4.434306,-7.951941,1963q2
12.9,42.6,28.7,1464.8,122669.7,4.658816,-4.427776,-7.965396,1963q3
13,43,28.8,1491.4,123188.7,4.653714,-4.414002,-7.960272,1963q4
13.3,44.2,28.9,1519.2,123708,4.645538,-4.39974,-7.936954,1964q1
13.5,45,29.1,1555.9,124203,4.635629,-4.379863,-7.92301,1964q2
13.7,45.7,29.2,1576.5,124739.3,4.631469,-4.371019,-7.911883,1964q3
13.8,45.6,29.3,1597.2,125289,4.637514,-4.362371,-7.918471,1964q4
14.2,45.9,29.5,1607.6,125814,4.652727,-4.360062,-7.916095,1965q1
14.7,47.1,29.6,1630.5,126324.7,4.658141,-4.349968,-7.894338,1965q2
14.9,47.5,29.8,1672.7,126745,4.656464,-4.327738,-7.889203,1965q3
15.3,48.5,30,1703,127169.3,4.655432,-4.313128,-7.871711,1965q4
15.5,49.2,30.3,1713,127511.3,4.644139,-4.309959,-7.860067,1966q1
15.9,50.3,30.4,1720.2,127868.7,4.644212,-4.308563,-7.840754,1966q2
16.2,50.6,30.7,1741.2,128233.7,4.647138,-4.29928,-7.837658,1966q3
16.5,50.7,31,1762.9,128617,4.653788,-4.289879,-7.838668,1966q4
16.7,51,31,1788.6,129043.7,4.659936,-4.278718,-7.836081,1967q1
17,51.5,31.2,1802.6,129527,4.661554,-4.274659,-7.830063,1967q2
17.2,52,31.5,1819.5,130165.7,4.654018,-4.270246,-7.82532,1967q3
17.5,52.9,31.8,1834.9,130757.3,4.644671,-4.266353,-7.812695,1967q4
18.1,54.2,32.2,1859.6,131267,4.641605,-4.256872,-7.792308,1968q1
18.3,55,32.6,1889.4,131712.3,4.625596,-4.244361,-7.781043,1968q2
18.9,56.2,32.9,1889.9,132250,4.627113,-4.24817,-7.763533,1968q3
19,56.3,33.2,1908.2,132880,4.621535,-4.243286,-7.766507,1968q4
19.6,57.6,33.5,1908.5,133475.7,4.620802,-4.247602,-7.748152,1969q1
20.6,59,33.9,1927.9,134020.3,4.634679,-4.24156,-7.728209,1969q2
20.6,59.5,34.3,1967.8,134595,4.61451,-4.225354,-7.724049,1969q3
21,60.8,34.6,1985.6,135246.7,4.603419,-4.221179,-7.707266,1969q4
21.4,62.1,35,1990.6,135949.7,4.589637,-4.223849,-7.691294,1970q1
21.8,62.1,35.5,2020.1,136676.3,4.593972,-4.214468,-7.696625,1970q2
22,63.3,35.8,2045.3,137456.3,4.57555,-4.207762,-7.683176,1970q3
22.5,63.8,36.3,2045.2,138260.3,4.576285,-4.213643,-7.68114,1970q4
22.8,64.8,36.7,2073.9,139033,4.563018,-4.20528,-7.671161,1971q1
22.7,65.9,37.2,2098,139827,4.528258,-4.199421,-7.660023,1971q2
23.3,66.3,37.6,2106.6,140602.3,4.5376,-4.20086,-7.659501,1971q3
23.8,66.7,37.9,2121.1,141401.7,4.54487,-4.19967,-7.659155,1971q4
23.8,67.7,38.3,2129.7,143004.7,4.51949,-4.206896,-7.655546,1972q1
23.6,67.9,38.6,2149.1,143758,4.500299,-4.203082,-7.657851,1972q2
24.5,68.7,39,2193.9,144522.7,4.515703,-4.187756,-7.651443,1972q3
25.7,70.2,39.4,2272,145215,4.531717,-4.157555,-7.634623,1972q4
26.9,72.6,39.9,2300.7,145964,4.531126,-4.150146,-7.606151,1973q1
27.4,71.6,40.7,2315.2,146719,4.54356,-4.149023,-7.625179,1973q2
28,72.3,41.3,2337.9,147478.3,4.540858,-4.144428,-7.620612,1973q3
30.3,72.1,42.2,2382.7,148225.3,4.601014,-4.130499,-7.628435,1973q4
32.1,65,43.4,2334.7,148987,4.73435,-4.155976,-7.737227,1974q1
36.5,67.6,44.6,2304.5,149746.7,4.796311,-4.174081,-7.703092,1974q2
37.6,69.4,45.8,2315,150498.3,4.773173,-4.174542,-7.68182,1974q3
38.3,72.2,46.8,2313.7,151252.7,4.730467,-4.180104,-7.647267,1974q4
38,70.9,47.7,2282.5,151987,4.721725,-4.198524,-7.67028,1975q1
38.7,71,48.3,2390.3,152707.3,4.726068,-4.157104,-7.673599,1975q2
40.5,69.9,49.3,2359.4,153578.7,4.766653,-4.175806,-7.694902,1975q3
41.6,70.6,50.1,2389.4,154337,4.767389,-4.168096,-7.689864,1975q4
42,72.1,50.7,2424.5,155074.7,4.74403,-4.158281,-7.673608,1976q1
42.2,73.2,51.2,2434.9,155773,4.723825,-4.158494,-7.66296,1976q2
43.2,73.7,52.1,2444.7,156526.7,4.723013,-4.159304,-7.660979,1976q3
44.8,74.7,53,2459.5,157222.3,4.728776,-4.157703,-7.651936,1976q4
45.7,74.6,54,2463,157910.3,4.731314,-4.160647,-7.657642,1977q1
46.9,75.6,55,2490.3,158651.7,4.725569,-4.154308,-7.64901,1977q2
47,76.2,55.8,2541,159430.3,4.705353,-4.13905,-7.646001,1977q3
48,76.3,56.7,2556.2,160140.7,4.709094,-4.137531,-7.649135,1977q4
48.1,76,57.6,2587.3,160829,4.699367,-4.129727,-7.657363,1978q1
48.9,77.5,58.9,2631.9,161524.3,4.673999,-4.11695,-7.642133,1978q2
50.5,78.2,60,2653.2,162265.3,4.678699,-4.113466,-7.637719,1978q3
53,78,61.1,2680.9,163024,4.711411,-4.107745,-7.644944,1978q4
56.4,79.2,62.4,2699.2,163755.7,4.737268,-4.10542,-7.634154,1979q1
61.5,75.6,63.8,2697.6,164446.7,4.848168,-4.110224,-7.684886,1979q2
70.9,75.5,65.5,2715.3,165199.7,4.965428,-4.108253,-7.690777,1979q3
76.2,75.2,67,2728.1,166055,5.018858,-4.108714,-7.699923,1979q4
85.8,73.5,69,2742.9,166762,5.130968,-4.107552,-7.727037,1980q1
88,72.3,70.6,2692,167415.3,5.149823,-4.130193,-7.747409,1980q2
86,71.1,72.2,2722.5,168110.7,5.121161,-4.123072,-7.768291,1980q3
87,71.2,73.9,2777,168694,5.108043,-4.106715,-7.770349,1980q4
98.2,73.2,75.8,2783.7,169278.3,5.176053,-4.107763,-7.746104,1981q1
98.5,73.2,77.1,2776.7,169837.3,5.162098,-4.113578,-7.749401,1981q2
97,73.2,78.5,2814.1,170412.7,5.128757,-4.10358,-7.752783,1981q3
98,73,79.7,2808.8,170990.3,5.126579,-4.10885,-7.758903,1981q4
96.9,74,80.7,2795,171497.3,5.089216,-4.116735,-7.748258,1982q1
92,74.8,81.5,2824.8,172020,5.016708,-4.109173,-7.740548,1982q2
94.6,73.5,82.8,2829,172521.7,5.046284,-4.1106,-7.760993,1982q3
93,73.4,83.8,2832.6,173046,5.018583,-4.112362,-7.765389,1982q4
90.8,75.9,84.6,2843.6,173505.3,4.951649,-4.111137,-7.734547,1983q1
91.8,74.1,85.7,2867,173957.3,4.973684,-4.105544,-7.76115,1983q2
95.7,76,86.7,2903,174449.3,4.978372,-4.09589,-7.738657,1983q3
94.9,76.9,87.6,2960.6,174950,4.947877,-4.079108,-7.72975,1983q4
94,76.2,88.5,3033.2,175678.7,4.937271,-4.059039,-7.743051,1984q1
95.8,77.9,89.2,3065.9,176125.3,4.926296,-4.050855,-7.723525,1984q2
93.4,78.4,90,3102.7,176595.7,4.885598,-4.04159,-7.719794,1984q3
94.9,79,90.7,3118.5,177132.3,4.886159,-4.039545,-7.715205,1984q4
94.7,78.7,91.7,3123.6,177522,4.876889,-4.040108,-7.721207,1985q1
98,79.2,92.5,3189.6,177946.3,4.896123,-4.021586,-7.717261,1985q2
97.4,79.3,93.5,3156.5,178413.3,4.877967,-4.034639,-7.71862,1985q3
97.6,79.5,94.6,3178.7,178940.3,4.865803,-4.03058,-7.719051,1985q4
94,81.2,95.3,3227.5,179825.3,4.79969,-4.020278,-7.702826,1986q1
78.2,82.5,95.4,3281.4,180320.7,4.598733,-4.006466,-7.689694,1986q2
73.7,83.1,96.3,3272.6,180835.3,4.52283,-4.012002,-7.685297,1986q3
73,84.6,97,3266.2,181365.3,4.488154,-4.016886,-7.670334,1986q4
80.3,83.6,98.4,3295.2,182001.7,4.581026,-4.011549,-7.685728,1987q1
84.3,85.6,99.5,3241.7,182526.7,4.594879,-4.030798,-7.664966,1987q2
86.4,84.3,100.5,3285.7,183016,4.624788,-4.019994,-7.682947,1987q3
87.8,85.4,101.6,3335.8,183466.7,4.617013,-4.00732,-7.672442,1987q4
85.2,85.1,102.3,3380.1,183967.3,4.583605,-3.996853,-7.678687,1988q1
86.3,86.1,103.6,3386.3,184389.3,4.572124,-3.997312,-7.669295,1988q2
87.6,85.8,104.9,3407.5,184840.3,4.578095,-3.993514,-7.675229,1988q3
88.5,87.5,106.1,3443.1,185253.7,4.557322,-3.985354,-7.657843,1988q4
89,86.6,107.4,3473.9,185773.3,4.561117,-3.979249,-7.670983,1989q1
97.9,83.2,108.8,3450.9,186178,4.683528,-3.988068,-7.713211,1989q2
97.1,86.6,109.6,3466.9,186602.3,4.627944,-3.985719,-7.675435,1989q3
97.9,90.2,110.8,3493,187017.7,4.584531,-3.980442,-7.636929,1989q4
100.4,87.2,112.5,3531.4,187411.3,4.628345,-3.971611,-7.672857,1990q1
97.3,84.5,113.7,3545.3,187824.3,4.617825,-3.969884,-7.706511,1990q2
106.4,84.4,115.4,3547,188266,4.693574,-3.971754,-7.710044,1990q3
123.2,84,117.2,3529.5,188696,4.829451,-3.978981,-7.717076,1990q4
105,81.8,118.1,3514.8,189111.7,4.688492,-3.985355,-7.745816,1991q1
102,83,118.9,3537.4,189523.3,4.63819,-3.98112,-7.733427,1991q2
101.7,83.6,119.7,3539.9,189978.3,4.621336,-3.982812,-7.728622,1991q3
102.5,83.6,120.6,3547.5,190448.7,4.62168,-3.98314,-7.731094,1991q4
98.8,82.1,121.4,3579.9,190888,4.596409,-3.976352,-7.751504,1992q1
