week,price,cartel,quantity,seas1,seas2,seas3,seas4,seas5,seas6,seas7,seas8,seas9,seas10,seas11,seas12,ice
1,.4,1,13632,1,0,0,0,0,0,0,0,0,0,0,0,1
2,.4,1,20035,1,0,0,0,0,0,0,0,0,0,0,0,1
3,.4,1,16319,1,0,0,0,0,0,0,0,0,0,0,0,1
4,.4,1,12603,1,0,0,0,0,0,0,0,0,0,0,0,1
5,.4,1,23079,0,1,0,0,0,0,0,0,0,0,0,0,1
6,.4,1,19652,0,1,0,0,0,0,0,0,0,0,0,0,1
7,.4,1,16211,0,1,0,0,0,0,0,0,0,0,0,0,1
8,.4,1,22914,0,1,0,0,0,0,0,0,0,0,0,0,1
9,.4,1,23710,0,0,1,0,0,0,0,0,0,0,0,0,1
10,.35,1,23036,0,0,1,0,0,0,0,0,0,0,0,0,1
11,.35,1,38414,0,0,1,0,0,0,0,0,0,0,0,0,1
12,.35,1,46906,0,0,1,0,0,0,0,0,0,0,0,0,1
13,.35,1,58608,0,0,0,1,0,0,0,0,0,0,0,0,1
14,.35,1,51225,0,0,0,1,0,0,0,0,0,0,0,0,1
15,.35,1,37339,0,0,0,1,0,0,0,0,0,0,0,0,0
16,.3,1,20298,0,0,0,1,0,0,0,0,0,0,0,0,0
17,.3,1,13699,0,0,0,0,1,0,0,0,0,0,0,0,0
18,.3,1,11944,0,0,0,0,1,0,0,0,0,0,0,0,0
19,.3,1,10658,0,0,0,0,1,0,0,0,0,0,0,0,0
20,.3,1,9756,0,0,0,0,1,0,0,0,0,0,0,0,0
21,.3,1,9546,0,0,0,0,0,1,0,0,0,0,0,0,0
22,.3,1,16713,0,0,0,0,0,1,0,0,0,0,0,0,0
23,.3,1,16389,0,0,0,0,0,1,0,0,0,0,0,0,0
24,.3,1,23179,0,0,0,0,0,1,0,0,0,0,0,0,0
25,.3,1,34999,0,0,0,0,0,0,1,0,0,0,0,0,0
26,.3,1,35267,0,0,0,0,0,0,1,0,0,0,0,0,0
27,.3,1,20402,0,0,0,0,0,0,1,0,0,0,0,0,0
28,.3,1,21020,0,0,0,0,0,0,1,0,0,0,0,0,0
29,.3,1,16612,0,0,0,0,0,0,0,1,0,0,0,0,0
30,.3,1,14834,0,0,0,0,0,0,0,1,0,0,0,0,0
31,.3,1,11149,0,0,0,0,0,0,0,1,0,0,0,0,0
32,.3,1,16035,0,0,0,0,0,0,0,1,0,0,0,0,0
33,.3,1,18555,0,0,0,0,0,0,0,0,1,0,0,0,0
34,.3,1,17413,0,0,0,0,0,0,0,0,1,0,0,0,0
35,.3,1,19412,0,0,0,0,0,0,0,0,1,0,0,0,0
36,.3,1,20240,0,0,0,0,0,0,0,0,1,0,0,0,0
37,.3,1,11824,0,0,0,0,0,0,0,0,0,1,0,0,0
38,.3,1,17793,0,0,0,0,0,0,0,0,0,1,0,0,0
39,.3,1,20157,0,0,0,0,0,0,0,0,0,1,0,0,0
40,.3,1,18623,0,0,0,0,0,0,0,0,0,1,0,0,0
41,.3,1,19062,0,0,0,0,0,0,0,0,0,0,1,0,0
42,.3,1,20840,0,0,0,0,0,0,0,0,0,0,1,0,0
43,.3,1,18972,0,0,0,0,0,0,0,0,0,0,1,0,0
44,.3,1,19690,0,0,0,0,0,0,0,0,0,0,1,0,0
45,.3,1,20206,0,0,0,0,0,0,0,0,0,0,0,1,0
46,.3,1,23081,0,0,0,0,0,0,0,0,0,0,0,1,0
47,.3,1,21209,0,0,0,0,0,0,0,0,0,0,0,1,0
48,.35,1,13753,0,0,0,0,0,0,0,0,0,0,0,1,0
49,.35,1,14956,0,0,0,0,0,0,0,0,0,0,0,0,1
50,.35,1,13295,0,0,0,0,0,0,0,0,0,0,0,0,1
51,.35,1,16935,0,0,0,0,0,0,0,0,0,0,0,0,1
52,.35,1,24499,0,0,0,0,0,0,0,0,0,0,0,0,1
53,.35,1,20078,1,0,0,0,0,0,0,0,0,0,0,0,1
54,.35,1,24144,1,0,0,0,0,0,0,0,0,0,0,0,1
55,.35,1,26157,1,0,0,0,0,0,0,0,0,0,0,0,1
56,.35,1,22055,1,0,0,0,0,0,0,0,0,0,0,0,1
57,.35,1,21973,0,1,0,0,0,0,0,0,0,0,0,0,1
58,.35,1,23794,0,1,0,0,0,0,0,0,0,0,0,0,1
59,.35,1,23116,0,1,0,0,0,0,0,0,0,0,0,0,1
60,.35,1,23578,0,1,0,0,0,0,0,0,0,0,0,0,1
61,.35,1,21568,0,0,1,0,0,0,0,0,0,0,0,0,1
62,.35,0,17494,0,0,1,0,0,0,0,0,0,0,0,0,1
63,.35,0,16260,0,0,1,0,0,0,0,0,0,0,0,0,1
64,.35,0,26690,0,0,1,0,0,0,0,0,0,0,0,0,1
65,.35,0,21723,0,0,0,1,0,0,0,0,0,0,0,0,1
66,.35,0,30625,0,0,0,1,0,0,0,0,0,0,0,0,1
67,.35,0,36618,0,0,0,1,0,0,0,0,0,0,0,0,1
68,.3,0,42182,0,0,0,1,0,0,0,0,0,0,0,0,1
69,.25,0,47432,0,0,0,0,1,0,0,0,0,0,0,0,1
70,.3,1,43822,0,0,0,0,1,0,0,0,0,0,0,0,1
71,.3,1,36457,0,0,0,0,1,0,0,0,0,0,0,0,1
72,.3,1,29093,0,0,0,0,1,0,0,0,0,0,0,0,1
73,.3,1,21729,0,0,0,0,0,1,0,0,0,0,0,0,0
74,.3,1,21265,0,0,0,0,0,1,0,0,0,0,0,0,0
75,.3,1,18505,0,0,0,0,0,1,0,0,0,0,0,0,0
76,.3,0,14540,0,0,0,0,0,1,0,0,0,0,0,0,0
77,.3,0,19366,0,0,0,0,0,0,1,0,0,0,0,0,0
78,.25,0,55732,0,0,0,0,0,0,1,0,0,0,0,0,0
79,.15,0,42346,0,0,0,0,0,0,1,0,0,0,0,0,0
80,.15,0,28960,0,0,0,0,0,0,1,0,0,0,0,0,0
81,.15,0,30434,0,0,0,0,0,0,0,1,0,0,0,0,0
82,.15,0,26139,0,0,0,0,0,0,0,1,0,0,0,0,0
83,.15,0,31075,0,0,0,0,0,0,0,1,0,0,0,0,0
84,.15,0,29433,0,0,0,0,0,0,0,1,0,0,0,0,0
85,.15,0,29136,0,0,0,0,0,0,0,0,1,0,0,0,0
86,.15,0,31126,0,0,0,0,0,0,0,0,1,0,0,0,0
87,.15,0,35384,0,0,0,0,0,0,0,0,1,0,0,0,0
88,.15,0,36701,0,0,0,0,0,0,0,0,1,0,0,0,0
89,.15,0,37771,0,0,0,0,0,0,0,0,0,1,0,0,0
90,.15,0,38247,0,0,0,0,0,0,0,0,0,1,0,0,0
91,.15,0,39518,0,0,0,0,0,0,0,0,0,1,0,0,0
92,.15,0,30603,0,0,0,0,0,0,0,0,0,1,0,0,0
93,.125,0,28383,0,0,0,0,0,0,0,0,0,0,1,0,0
94,.125,0,24678,0,0,0,0,0,0,0,0,0,0,1,0,0
95,.125,0,27839,0,0,0,0,0,0,0,0,0,0,1,0,0
96,.125,0,26767,0,0,0,0,0,0,0,0,0,0,1,0,0
97,.125,0,24041,0,0,0,0,0,0,0,0,0,0,0,1,0
98,.2,0,23355,0,0,0,0,0,0,0,0,0,0,0,1,0
99,.2,0,26491,0,0,0,0,0,0,0,0,0,0,0,1,0
100,.2,0,20900,0,0,0,0,0,0,0,0,0,0,0,1,0
101,.2,0,26410,0,0,0,0,0,0,0,0,0,0,0,0,1
102,.2,0,26195,0,0,0,0,0,0,0,0,0,0,0,0,1
103,.2,0,22427,0,0,0,0,0,0,0,0,0,0,0,0,1
104,.125,0,27535,0,0,0,0,0,0,0,0,0,0,0,0,1
105,.125,0,25738,1,0,0,0,0,0,0,0,0,0,0,0,1
106,.125,0,23429,1,0,0,0,0,0,0,0,0,0,0,0,1
107,.125,0,32745,1,0,0,0,0,0,0,0,0,0,0,0,1
108,.125,0,37950,1,0,0,0,0,0,0,0,0,0,0,0,1
109,.2,1,41466,0,1,0,0,0,0,0,0,0,0,0,0,1
110,.2,1,49276,0,1,0,0,0,0,0,0,0,0,0,0,1
111,.2,1,37850,0,1,0,0,0,0,0,0,0,0,0,0,1
112,.2,1,32893,0,1,0,0,0,0,0,0,0,0,0,0,1
113,.2,1,24410,0,0,1,0,0,0,0,0,0,0,0,0,1
114,.2,1,15104,0,0,1,0,0,0,0,0,0,0,0,0,1
115,.2,1,13819,0,0,1,0,0,0,0,0,0,0,0,0,1
116,.25,1,22959,0,0,1,0,0,0,0,0,0,0,0,0,1
117,.25,1,14486,0,0,0,1,0,0,0,0,0,0,0,0,1
118,.25,1,15254,0,0,0,1,0,0,0,0,0,0,0,0,1
119,.25,1,16607,0,0,0,1,0,0,0,0,0,0,0,0,1
120,.25,1,17475,0,0,0,1,0,0,0,0,0,0,0,0,0
121,.25,1,12704,0,0,0,0,1,0,0,0,0,0,0,0,0
122,.25,1,14399,0,0,0,0,1,0,0,0,0,0,0,0,0
123,.25,1,12023,0,0,0,0,1,0,0,0,0,0,0,0,0
124,.25,1,9626,0,0,0,0,1,0,0,0,0,0,0,0,0
125,.25,1,6482,0,0,0,0,0,1,0,0,0,0,0,0,0
126,.25,1,10520,0,0,0,0,0,1,0,0,0,0,0,0,0
127,.25,1,12588,0,0,0,0,0,1,0,0,0,0,0,0,0
128,.25,1,12468,0,0,0,0,0,1,0,0,0,0,0,0,0
129,.25,1,10930,0,0,0,0,0,0,1,0,0,0,0,0,0
130,.25,1,10997,0,0,0,0,0,0,1,0,0,0,0,0,0
131,.25,1,8618,0,0,0,0,0,0,1,0,0,0,0,0,0
132,.25,1,4810,0,0,0,0,0,0,1,0,0,0,0,0,0
133,.25,1,5832,0,0,0,0,0,0,0,1,0,0,0,0,0
134,.25,1,8536,0,0,0,0,0,0,0,1,0,0,0,0,0
135,.25,1,11204,0,0,0,0,0,0,0,1,0,0,0,0,0
136,.25,1,10591,0,0,0,0,0,0,0,1,0,0,0,0,0
137,.25,1,9978,0,0,0,0,0,0,0,0,1,0,0,0,0
138,.25,1,9374,0,0,0,0,0,0,0,0,1,0,0,0,0
139,.25,1,19466,0,0,0,0,0,0,0,0,1,0,0,0,0
140,.25,1,23085,0,0,0,0,0,0,0,0,1,0,0,0,0
141,.25,1,18981,0,0,0,0,0,0,0,0,0,1,0,0,0
142,.25,1,16595,0,0,0,0,0,0,0,0,0,1,0,0,0
143,.25,1,13182,0,0,0,0,0,0,0,0,0,1,0,0,0
144,.25,1,11626,0,0,0,0,0,0,0,0,0,1,0,0,0
145,.25,1,12996,0,0,0,0,0,0,0,0,0,0,1,0,0
146,.25,1,14852,0,0,0,0,0,0,0,0,0,0,1,0,0
147,.25,1,11508,0,0,0,0,0,0,0,0,0,0,1,0,0
148,.25,1,12996,0,0,0,0,0,0,0,0,0,0,1,0,0
149,.25,1,17942,0,0,0,0,0,0,0,0,0,0,0,1,0
150,.25,1,15498,0,0,0,0,0,0,0,0,0,0,0,1,0
151,.25,1,18121,0,0,0,0,0,0,0,0,0,0,0,1,0
152,.25,1,17914,0,0,0,0,0,0,0,0,0,0,0,1,0
153,.3,1,21217,0,0,0,0,0,0,0,0,0,0,0,0,1
154,.3,1,22418,0,0,0,0,0,0,0,0,0,0,0,0,1
155,.3,1,26230,0,0,0,0,0,0,0,0,0,0,0,0,1
156,.3,1,26458,0,0,0,0,0,0,0,0,0,0,0,0,1
157,.3,1,36168,1,0,0,0,0,0,0,0,0,0,0,0,1
158,.3,1,30721,1,0,0,0,0,0,0,0,0,0,0,0,1
159,.3,1,41071,1,0,0,0,0,0,0,0,0,0,0,0,1
160,.3,1,28865,1,0,0,0,0,0,0,0,0,0,0,0,1
161,.3,1,29221,0,1,0,0,0,0,0,0,0,0,0,0,1
162,.3,1,22245,0,1,0,0,0,0,0,0,0,0,0,0,1
163,.3,1,20377,0,1,0,0,0,0,0,0,0,0,0,0,1
164,.3,0,36343,0,1,0,0,0,0,0,0,0,0,0,0,1
165,.3,1,33227,0,0,1,0,0,0,0,0,0,0,0,0,1
166,.3,1,33806,0,0,1,0,0,0,0,0,0,0,0,0,1
167,.3,1,43998,0,0,1,0,0,0,0,0,0,0,0,0,1
168,.3,1,45342,0,0,1,0,0,0,0,0,0,0,0,0,1
169,.3,1,45659,0,0,0,1,0,0,0,0,0,0,0,0,1
170,.3,1,30864,0,0,0,1,0,0,0,0,0,0,0,0,1
171,.3,1,16522,0,0,0,1,0,0,0,0,0,0,0,0,1
172,.3,1,20085,0,0,0,1,0,0,0,0,0,0,0,0,0
173,.25,0,18262,0,0,0,0,1,0,0,0,0,0,0,0,0
174,.25,0,19415,0,0,0,0,1,0,0,0,0,0,0,0,0
175,.25,1,22792,0,0,0,0,1,0,0,0,0,0,0,0,0
176,.25,1,23903,0,0,0,0,1,0,0,0,0,0,0,0,0
177,.25,1,14761,0,0,0,0,0,1,0,0,0,0,0,0,0
178,.25,1,10901,0,0,0,0,0,1,0,0,0,0,0,0,0
179,.25,1,14868,0,0,0,0,0,1,0,0,0,0,0,0,0
180,.25,1,17271,0,0,0,0,0,1,0,0,0,0,0,0,0
181,.25,1,16179,0,0,0,0,0,0,1,0,0,0,0,0,0
182,.25,1,15576,0,0,0,0,0,0,1,0,0,0,0,0,0
183,.25,1,12292,0,0,0,0,0,0,1,0,0,0,0,0,0
184,.25,1,7627,0,0,0,0,0,0,1,0,0,0,0,0,0
185,.25,1,9888,0,0,0,0,0,0,0,1,0,0,0,0,0
186,.25,1,11080,0,0,0,0,0,0,0,1,0,0,0,0,0
187,.25,1,13782,0,0,0,0,0,0,0,1,0,0,0,0,0
188,.25,1,15181,0,0,0,0,0,0,0,1,0,0,0,0,0
189,.25,1,11906,0,0,0,0,0,0,0,0,1,0,0,0,0
190,.25,1,14763,0,0,0,0,0,0,0,0,1,0,0,0,0
191,.25,1,22934,0,0,0,0,0,0,0,0,1,0,0,0,0
192,.25,0,23252,0,0,0,0,0,0,0,0,1,0,0,0,0
193,.2,0,25164,0,0,0,0,0,0,0,0,0,1,0,0,0
194,.2,1,33879,0,0,0,0,0,0,0,0,0,1,0,0,0
195,.25,1,32428,0,0,0,0,0,0,0,0,0,1,0,0,0
196,.25,1,31256,0,0,0,0,0,0,0,0,0,1,0,0,0
197,.25,1,27805,0,0,0,0,0,0,0,0,0,0,1,0,0
198,.25,1,34663,0,0,0,0,0,0,0,0,0,0,1,0,0
199,.25,1,30187,0,0,0,0,0,0,0,0,0,0,1,0,0
200,.25,1,27277,0,0,0,0,0,0,0,0,0,0,1,0,0
201,.25,1,29521,0,0,0,0,0,0,0,0,0,0,0,1,0
202,.25,1,31280,0,0,0,0,0,0,0,0,0,0,0,1,0
203,.25,1,30601,0,0,0,0,0,0,0,0,0,0,0,1,0
204,.25,1,31553,0,0,0,0,0,0,0,0,0,0,0,1,0
205,.3,1,42735,0,0,0,0,0,0,0,0,0,0,0,0,1
206,.3,1,28241,0,0,0,0,0,0,0,0,0,0,0,0,1
207,.3,1,29221,0,0,0,0,0,0,0,0,0,0,0,0,1
208,.3,1,27894,0,0,0,0,0,0,0,0,0,0,0,0,1
209,.3,1,21911,1,0,0,0,0,0,0,0,0,0,0,0,1
210,.3,1,16685,1,0,0,0,0,0,0,0,0,0,0,0,1
211,.2,1,23504,1,0,0,0,0,0,0,0,0,0,0,0,1
212,.3,1,41210,1,0,0,0,0,0,0,0,0,0,0,0,1
213,.3,1,35058,0,1,0,0,0,0,0,0,0,0,0,0,1
214,.3,1,27065,0,1,0,0,0,0,0,0,0,0,0,0,1
215,.3,0,29404,0,1,0,0,0,0,0,0,0,0,0,0,1
216,.3,0,25269,0,1,0,0,0,0,0,0,0,0,0,0,1
217,.3,0,29219,0,0,1,0,0,0,0,0,0,0,0,0,1
218,.3,0,29291,0,0,1,0,0,0,0,0,0,0,0,0,1
219,.3,0,29217,0,0,1,0,0,0,0,0,0,0,0,0,1
220,.3,0,32643,0,0,1,0,0,0,0,0,0,0,0,0,1
221,.2,0,37902,0,0,0,1,0,0,0,0,0,0,0,0,1
222,.15,0,53282,0,0,0,1,0,0,0,0,0,0,0,0,1
223,.15,0,70793,0,0,0,1,0,0,0,0,0,0,0,0,1
224,.15,0,76407,0,0,0,1,0,0,0,0,0,0,0,0,1
225,.15,0,65944,0,0,0,0,1,0,0,0,0,0,0,0,1
226,.15,0,51242,0,0,0,0,1,0,0,0,0,0,0,0,1
227,.15,0,42464,0,0,0,0,1,0,0,0,0,0,0,0,0
228,.15,0,36603,0,0,0,0,1,0,0,0,0,0,0,0,0
229,.15,0,32376,0,0,0,0,0,1,0,0,0,0,0,0,0
230,.15,0,37927,0,0,0,0,0,1,0,0,0,0,0,0,0
231,.15,0,37905,0,0,0,0,0,1,0,0,0,0,0,0,0
232,.15,0,34782,0,0,0,0,0,1,0,0,0,0,0,0,0
233,.15,0,43146,0,0,0,0,0,0,1,0,0,0,0,0,0
234,.15,1,38104,0,0,0,0,0,0,1,0,0,0,0,0,0
235,.2,1,41901,0,0,0,0,0,0,1,0,0,0,0,0,0
236,.2,1,25829,0,0,0,0,0,0,1,0,0,0,0,0,0
237,.2,1,15480,0,0,0,0,0,0,0,1,0,0,0,0,0
238,.2,1,18461,0,0,0,0,0,0,0,1,0,0,0,0,0
239,.25,0,20716,0,0,0,0,0,0,0,1,0,0,0,0,0
240,.25,0,14492,0,0,0,0,0,0,0,1,0,0,0,0,0
241,.25,0,13004,0,0,0,0,0,0,0,0,1,0,0,0,0
242,.25,0,16754,0,0,0,0,0,0,0,0,1,0,0,0,0
243,.25,0,23268,0,0,0,0,0,0,0,0,1,0,0,0,0
244,.15,0,18972,0,0,0,0,0,0,0,0,1,0,0,0,0
245,.15,0,15531,0,0,0,0,0,0,0,0,0,1,0,0,0
246,.15,0,17154,0,0,0,0,0,0,0,0,0,1,0,0,0
247,.15,0,23416,0,0,0,0,0,0,0,0,0,1,0,0,0
248,.15,0,26541,0,0,0,0,0,0,0,0,0,1,0,0,0
249,.15,1,33592,0,0,0,0,0,0,0,0,0,0,1,0,0
250,.25,1,36235,0,0,0,0,0,0,0,0,0,0,1,0,0
251,.25,1,22372,0,0,0,0,0,0,0,0,0,0,1,0,0
252,.25,1,23876,0,0,0,0,0,0,0,0,0,0,1,0,0
253,.25,1,31600,0,0,0,0,0,0,0,0,0,0,0,1,0
254,.25,0,31419,0,0,0,0,0,0,0,0,0,0,0,1,0
255,.25,1,27814,0,0,0,0,0,0,0,0,0,0,0,1,0
256,.25,1,32530,0,0,0,0,0,0,0,0,0,0,0,1,0
257,.25,1,33624,0,0,0,0,0,0,0,0,0,0,0,0,0
258,.25,1,34718,0,0,0,0,0,0,0,0,0,0,0,0,1
259,.25,1,35812,0,0,0,0,0,0,0,0,0,0,0,0,1
260,.25,1,26844,0,0,0,0,0,0,0,0,0,0,0,0,1
261,.25,1,16938,1,0,0,0,0,0,0,0,0,0,0,0,1
262,.2,1,19362,1,0,0,0,0,0,0,0,0,0,0,0,1
263,.2,0,29761,1,0,0,0,0,0,0,0,0,0,0,0,1
264,.2,0,43777,1,0,0,0,0,0,0,0,0,0,0,0,1
265,.2,0,32995,0,1,0,0,0,0,0,0,0,0,0,0,1
266,.2,1,50340,0,1,0,0,0,0,0,0,0,0,0,0,1
267,.25,1,52131,0,1,0,0,0,0,0,0,0,0,0,0,1
268,.25,1,30913,0,1,0,0,0,0,0,0,0,0,0,0,1
269,.25,1,22887,0,0,1,0,0,0,0,0,0,0,0,0,1
270,.25,1,30911,0,0,1,0,0,0,0,0,0,0,0,0,1
271,.25,0,36354,0,0,1,0,0,0,0,0,0,0,0,0,1
272,.2,0,38989,0,0,1,0,0,0,0,0,0,0,0,0,1
273,.2,0,47087,0,0,0,1,0,0,0,0,0,0,0,0,1
274,.2,0,44805,0,0,0,1,0,0,0,0,0,0,0,0,1
275,.2,0,46694,0,0,0,1,0,0,0,0,0,0,0,0,1
276,.2,0,54188,0,0,0,1,0,0,0,0,0,0,0,0,1
277,.2,0,40650,0,0,0,0,1,0,0,0,0,0,0,0,1
278,.2,0,34674,0,0,0,0,1,0,0,0,0,0,0,0,1
279,.2,0,27430,0,0,0,0,1,0,0,0,0,0,0,0,1
280,.15,0,53360,0,0,0,0,1,0,0,0,0,0,0,0,1
281,.15,0,43018,0,0,0,0,0,1,0,0,0,0,0,0,0
282,.15,0,33691,0,0,0,0,0,1,0,0,0,0,0,0,0
283,.15,0,27424,0,0,0,0,0,1,0,0,0,0,0,0,0
284,.15,0,30120,0,0,0,0,0,1,0,0,0,0,0,0,0
285,.15,0,30488,0,0,0,0,0,0,1,0,0,0,0,0,0
286,.15,0,31223,0,0,0,0,0,0,1,0,0,0,0,0,0
287,.15,0,21562,0,0,0,0,0,0,1,0,0,0,0,0,0
288,.15,0,24892,0,0,0,0,0,0,1,0,0,0,0,0,0
289,.15,0,20864,0,0,0,0,0,0,0,1,0,0,0,0,0
290,.15,0,19128,0,0,0,0,0,0,0,1,0,0,0,0,0
291,.2,0,9778,0,0,0,0,0,0,0,1,0,0,0,0,0
292,.2,0,7528,0,0,0,0,0,0,0,1,0,0,0,0,0
293,.2,0,15773,0,0,0,0,0,0,0,0,1,0,0,0,0
294,.15,0,10737,0,0,0,0,0,0,0,0,1,0,0,0,0
295,.15,0,20881,0,0,0,0,0,0,0,0,1,0,0,0,0
296,.15,0,20970,0,0,0,0,0,0,0,0,1,0,0,0,0
297,.15,0,22835,0,0,0,0,0,0,0,0,0,1,0,0,0
298,.15,0,30986,0,0,0,0,0,0,0,0,0,1,0,0,0
299,.15,0,35308,0,0,0,0,0,0,0,0,0,1,0,0,0
300,.15,0,40034,0,0,0,0,0,0,0,0,0,1,0,0,0
301,.15,0,44776,0,0,0,0,0,0,0,0,0,0,1,0,0
302,.2,0,36288,0,0,0,0,0,0,0,0,0,0,1,0,0
303,.2,0,27158,0,0,0,0,0,0,0,0,0,0,1,0,0
304,.2,0,14622,0,0,0,0,0,0,0,0,0,0,1,0,0
305,.2,0,15259,0,0,0,0,0,0,0,0,0,0,0,1,0
306,.2,0,14680,0,0,0,0,0,0,0,0,0,0,0,1,0
307,.2,0,15114,0,0,0,0,0,0,0,0,0,0,0,1,0
308,.2,1,17686,0,0,0,0,0,0,0,0,0,0,0,1,0
309,.2,1,36336,0,0,0,0,0,0,0,0,0,0,0,0,0
310,.2,1,22569,0,0,0,0,0,0,0,0,0,0,0,0,1
311,.2,1,23342,0,0,0,0,0,0,0,0,0,0,0,0,1
312,.2,1,21269,0,0,0,0,0,0,0,0,0,0,0,0,1
313,.2,1,18340,1,0,0,0,0,0,0,0,0,0,0,0,1
314,.25,1,19440,1,0,0,0,0,0,0,0,0,0,0,0,1
315,.25,0,17056,1,0,0,0,0,0,0,0,0,0,0,0,1
316,.25,0,10713,1,0,0,0,0,0,0,0,0,0,0,0,1
317,.25,0,12836,0,1,0,0,0,0,0,0,0,0,0,0,1
318,.25,0,12344,0,1,0,0,0,0,0,0,0,0,0,0,1
319,.25,0,17868,0,1,0,0,0,0,0,0,0,0,0,0,1
320,.25,0,22789,0,1,0,0,0,0,0,0,0,0,0,0,1
321,.25,0,34851,0,0,1,0,0,0,0,0,0,0,0,0,1
322,.25,0,29997,0,0,1,0,0,0,0,0,0,0,0,0,1
323,.25,0,34010,0,0,1,0,0,0,0,0,0,0,0,0,1
324,.25,1,19686,0,0,1,0,0,0,0,0,0,0,0,0,1
325,.25,1,14757,0,0,0,1,0,0,0,0,0,0,0,0,1
326,.25,1,16502,0,0,0,1,0,0,0,0,0,0,0,0,1
327,.25,1,11490,0,0,0,1,0,0,0,0,0,0,0,0,1
328,.25,1,7843,0,0,0,1,0,0,0,0,0,0,0,0,1
